,number,active_ingredients,inactive_ingredients,name,price,review number,5 stars,4 stars,3 stars,2 stars,1 star
281,589068531,"['Sorbitol (Humectant)', 'Hydrated Silica (Polishes and Cleans)', 'Vegetable Glycerin (Soothes and Moisturizes)', 'Xylitol (Sweetener)', 'Purified Water', 'Charcoal Powder (Whitens', 'Flavor (Freshens Breath)', 'gum xanthan (Thickener)', 'Cannabis Sativa Seed Oil (Certified Organic) (Hemp Seed Oil)', 'Titanium Dioxide (Mineral)', 'Coconut Oil (Soothes and Moisturizes)', 'Sodium Cocoyl Glutamate (Cleanser)', 'Cocamidopropyl Betaine (Cleanser)', 'Potassium Sorbate (Maintains Stability) (Certified Organic).']",[],"Hello Activated Charcoal + Hemp Fluoride Free Toothpaste, Vegan & SLS Free, 4oz",$5.99 ,206,70,32,3,1,1
282,781242647,[''],[],"Tom's of Maine Whole Care Toothpaste, Peppermint, 4.0oz 3 Pack",$14.97 ,53,9,0,0,0,0
283,188380514,[''],[],"6 Pack - Aquafresh Maximum Strength Sensitive + Gentle Whitening Toothpaste, Smooth Mint 5.6 oz",$27.17 ,172,5,0,0,0,0
284,816160901,[' Sodium Fluoride 0.243% (0.15% w/v Fluoride Ion) '],"[' Water', 'Sorbitol', 'Hydrated Silica', 'disodium pytophosphate', 'Sodium Lauryl Sulfate', 'Flavor', 'Cellulose Gum', 'Sodium Hydroxide', 'Sodium Saccharin', 'Carbomer', 'Charcoal Powder', 'Sucralose', 'Polysorbate 80', 'Mica', 'Titanium Dioxide']","Crest 3D White, Charcoal Whitening Toothpaste, 4.1 oz, Pack of 3",$10.49 ,89,44,9,2,0,2
285,872796005,[''],[],"Aquafresh Maximum Strength Sensitive + Gentle Whitening Toothpaste, Smooth Mint 5.6 oz",$8.59 ,196,5,0,0,0,1
286,410455879,"['Arginine Bicarbonate', 'Benzyl Alcohol', 'Calcium Carbonate', 'Hydrated Silica', 'Natural Flavor**', 'Sodium Bicarbonate', 'Sodium Lauryl Sulfate', 'Sorbitol', 'Titanium Dioxide', 'Water', 'gum xanthan', 'Xylitol. **Peppermint oil and other natural flavor.']",[],"Tom's of Maine Rapid Relief Sensitive Natural Toothpaste, Fresh Mint, 2 Pack",$23.88 ,1,23,10,3,5,10
287,26965260,"['Ingredients: Calcium Carbonate', 'Aqua (Water)', 'Glycerin', 'Sodium Cocoyl Glutamate', 'Mentha Viridis (Spearmint) Leaf Oil', 'Carrageenan', 'Aloe Barbadensis Leaf Juice*', 'Bambusa Arundinacea Stem Powder', 'Carum Petroselinum (Parsley) Extract', 'Citrus Grandis (Grapefruit) Seed Extract', 'Chlorella Pyrenoidosa Extract', 'Perilla Ocymoides Seed Extract', 'Stevia Rebaudiana Leaf/Stem Extract', 'Silica', 'Sodium Bicarbonate*Certified Organic Ingredient']",[],"JASON Sea Fresh Strengthening Fluoride-Free Toothpaste, 6 Ounce Tube",$10.98 ,206,43,6,0,0,2
288,366071108,[''],[],"Opalescence Whitening Toothpaste, Cool Mint with Fluoride, 4.7 oz",$10.75 ,206,3,0,1,0,1
289,26965625,"['Calcium Carbonate', 'Water', 'Glycerin', 'Xylitol', 'Natural flavor*', 'Carrageenan', 'Sodium Lauryl Sulfate', 'Commiphora Myrrha (Myrrh) Resin Extract', 'Propolis Extract']",[],"Tom's of Maine Toothpaste Spearmint Natural Fluoride-Free Propolis & Myrrh, 5.5 OZ",$5.79 - $15.99,206,35,3,1,1,0
290,46238274,[''],[],Close-Up Toothpaste Gel Cinnamon Red 8 oz (Pack of 3),$14.32 ,109,3,0,0,0,0
