number,name,price,review number,5 stars,4 stars,3 stars,2 stars,1 star
49714957,Colgate Cavity Protection Fluoride Toothpaste - 6 oz,$1.67 - $21.11,262,5,1,0,0,0
15610997,"Orajel My Little Pony Fluoride-Free Training Toothpaste, Pinkie Fruity, 1.5 oz.",$2.88 - $5.76,262,23,3,1,1,1
16680121,Tom's of Maine Anticavity Fluoride Silly Strawberry Toothpaste 4.2 oz Paste,$3.44,262,43,10,0,3,3
16627500,Tom's of Maine Antiplaque & Whitening Toothpaste Peppermint 5.5 oz,$4.74,262,110,18,2,1,7
35706534,"Colgate Sensitive Toothpaste, Prevent and Repair - Gentle Mint Paste Formula (6 ounce, Pack of 1)",$4.48,36,59,21,6,3,2
10311749,"Colgate Max Fresh Toothpaste with Mini Breath Strips, Clean Mint - 6 ounce",$2.34,262,75,14,1,0,1
38360591,"Aquafresh Extra Fresh + Whitening Fluoride Toothpaste Fresh Mint, 5.6 Oz",$1.58 - $3.34,262,19,6,0,0,1
413040726,(2 pack) ORAJEL,$2.47 - $4.94,206,179,25,5,0,2
10291034,"Arm & Hammer PeroxiCare Deep Clean Toothpaste, 6 oz.",$3.12,262,119,15,10,4,19
26965411,Tom's of Maine Silly Strawberry Fluoride-Free Toothpaste 4.2 oz Paste,$3.44,262,27,2,0,0,4
135816811,"AIM Cavity Protection Toothpaste, Ultra Mint Gel, 5.5 oz.",$0.85,262,6,2,0,0,3
10321237,"Crest Kid's Cavity Protection Toothpaste featuring Disney Princess, Bubblegum, 4.2 oz, Ages 3+",$2.50 - $7.50,38,252,43,15,6,3
250428988,"Crest Gum Detoxify Gentle Whitening Toothpaste, 4.1 oz",$6.97,262,92,42,11,3,0
618514971,"Crest 3D White, Whitening Toothpaste Arctic Fresh, 4.1 oz, Pack of 2",$6.92,471,5,0,0,0,0
10321543,Aquafresh Extreme Clean Whitening Action Mint Blast Fluoride Toothpaste 5.6 oz. Box,$2.38,262,27,4,0,0,1
