,number,active_from_ingredients,inactive_from_ingredients,active_raw,inactive_raw,name,price
130,573971952,"['Active Ingredient ', '.', 'Purpose', 'Sodium Fluoride 0', '24% (0.14% W/V Fluoride Iron) ', '.', 'Anticavity', 'Inactive Ingredients: Sorbitol', 'Water', 'Hydrated Silica', 'Peg-12 Cellulose Gum', 'Sodium Lauryl Sulfate', 'Flavor', 'Sodium Saccharin', 'Mica', 'Titanium Dioxide', 'D&C Yellow No', '10', 'Fd&C Blue No', '1']",[],,,"Colgate Kids Batman Maximum Cavity Protection Pump, 4.4 Ounces",$3.96 
131,575238461,[' Sodium Fluoride (0.243%) (0.15% w/v Fluoride Ion). Purpose: Anticavity Toothpaste. '],"[' Water', 'Sorbitol', 'Hydrated Silica', 'Disodium Pyrophosphate', 'Sodium Lauryl Sulfate', 'Flavor', 'Sodium Hydroxide', 'Cellulose Gum', 'Sodium Saccharin', 'Carbomer', 'Polysorbate 80', 'Mica', 'Titanium Dioxide', 'Blue 1.']",Active Ingredient: Sodium Fluoride 0.243% (0.15% w/v Fluoride Ion),"Inactive Ingredients: Water, Sorbitol, Hydrated Silica, Disodium Pyrophosphate, Sodium Lauryl Sulfate, Flavor, Sodium Hydroxide, Cellulose Gum, Sodium Saccharin, Carbomer, Polysorbate 80, Mica, Titanium Dioxide, Blue 1&nbsp","Crest 3D White Whitening Toothpaste, Radiant Mint, 4.1 oz, 3 Pack",$9.97 
132,575238461,[' Sodium Fluoride (0.243%) (0.15% w/v Fluoride Ion). Purpose: Anticavity Toothpaste. '],"[' Water', 'Sorbitol', 'Hydrated Silica', 'Disodium Pyrophosphate', 'Sodium Lauryl Sulfate', 'Flavor', 'Sodium Hydroxide', 'Cellulose Gum', 'Sodium Saccharin', 'Carbomer', 'Polysorbate 80', 'Mica', 'Titanium Dioxide', 'Blue 1.']",Active Ingredient: Sodium Fluoride 0.243% (0.15% w/v Fluoride Ion),"Inactive Ingredients: Water, Sorbitol, Hydrated Silica, Disodium Pyrophosphate, Sodium Lauryl Sulfate, Flavor, Sodium Hydroxide, Cellulose Gum, Sodium Saccharin, Carbomer, Polysorbate 80, Mica, Titanium Dioxide, Blue 1&nbsp","Crest 3D White Whitening Toothpaste, Radiant Mint, 4.1 oz, 3 Pack",$9.97 
133,281243942,[''],[],Sodium fluoride 0.76% (0.10% w/v fluoride ion) Purpose: Anticavity,"water, hydrated silica, sorbitol, calcium pyrophosphate, glycerin, PEG-12, pentasodium triphosphate, tetrapotassium pyrophosphate, flavor, sodium lauryl sulfate, cellulose gum, sodium saccharin, charcoal powder, xanthan gum, cocamidopropyl betaine, blue 1, red 40, yellow 5","Colgate Charcoal Teeth Whitening Toothpaste, 4.6 oz, 2 Ct",$16.87 
134,572026273,[' sodium monofluorophosphate 0.76% '],"[' sorbitol', 'purified water', 'hydrated silica', 'glycerin', 'xylitol', 'charcoal powder', 'xanthan gum', 'flavor', 'titanium dioxide', 'coconut oil', 'cocamidopropyl betaine', 'sodium cocoyl glutamate and stevia rebaudiana leaf extract.']",NA,,"Hello Activated Charcoal Fluoride Whitening Toothpaste, Fresh Mint + Coconut Oil, Vegan & SLS Free, 4oz",$4.82 
135,572026273,[' sodium monofluorophosphate 0.76% '],"[' sorbitol', 'purified water', 'hydrated silica', 'glycerin', 'xylitol', 'charcoal powder', 'xanthan gum', 'flavor', 'titanium dioxide', 'coconut oil', 'cocamidopropyl betaine', 'sodium cocoyl glutamate and stevia rebaudiana leaf extract.']",NA,,"hello Activated Charcoal Whitening Fluoride Toothpaste, Fresh Mint + Coconut Oil, Vegan & SLS Free",$4.82 
136,572026272,"['Inactive ingredients: sorbitol (humectant)', 'purified water (hooray)', 'hydrated silica(polishes and cleans teeth),vegetable glycerin (soothes and moisturizes)', 'calcium carbonate (polishes and cleans teeth)', 'xylitol (sweetener)', 'erythritol (sweetener)', 'xanthan gum (thickener)', 'flavor (freshens breath)', 'titanium dioxide (mineral) ', 'coconut oil (soothes and moisturizes)', 'zinc citrate (controls visible tartar) cocomidopropyl betaine (cleanser)', 'sodium cocoyl glutamate (cleanser)', 'potassium sorbate (maintains stability)', 'stevia rebaudiana leaf extract (sweetener) and tea tree oil (cleans and freshens breath)']",[],,,"Hello Antiplaque + Whitening Fluoride Free Toothpaste, Tea Tree + Coconut Oil, Vegan & SLS Free",$3.97 
137,568059402,"['Organic Glycerin', 'Organic Aloe Barbadensis Leaf Juice', 'Hydrated Silica', 'Calcium Carbonate', 'Xanthan Gum', 'Sodium Bicarbonate (Baking Soda)', 'Potassium Cocoate', 'Organic Mentha Piperita (Peppermint) Oil', 'Organic Mentha Arvensis (Menthol) Crystals', 'Organic Cocos Nucifera (Coconut) Flour*', 'Organic Cocos Nucifera (Coconut) Oil*', 'Tocopherol', 'Citric Acid', 'Organic Stevia Rebaudiana Leaf Extract']",[],,,Dr. Bronner's All-One Organic Peppermint Toothpaste 5oz,$6.48 
138,568204561,"['Organic Glycerin', 'Organic Aloe Barbadensis Leaf Juice', 'Hydrated Silica', 'Calcium Carbonate', 'Xanthan Gum', 'Sodium Bicarbonate (Baking Soda)', 'Potassium Cocoate (made with Organic Coconut Oil*)', 'Organic Cinnamomum Cassia (Cinnamon) Oil', 'Organic Mentha Arvensis (Menthol) Crystals', 'Organic Cocos Nucifera (Coconut) Flour*', 'Organic Cocos Nucifera (Coconut) Oil*', 'Tocopherol', 'Citric Acid', 'Organic Stevia Rebaudiana leaf Extract. *']",[],,,Dr. Bronner's All-One Organic Cinnamon Toothpaste 5oz,$6.48 
139,568286231,"['Calcium Carbonate', 'Aqua (Water)', 'Glycerin', 'Sodium Cocoyl Glutamate', 'Mentha Piperita (Peppermint) Oil', 'Carrageenan', 'Aloe Barbadensis Leaf Gel*', 'Bambusa Arundinacea Stem Powder', 'Carum Petroselinum (Parsley) Extract', 'Citrus Grandis (Grapefruit) Seed Extract', 'Perilla Ocymoides Seed Extract', 'Stevia Rebaudiana Extract', 'Silica', 'Sodium Bicarbonate']",[],,,Jason PowerSmile Antiplaque & Whitening Paste Powerful Peppermint,$6.19 
