,product_number,product,product_link
26,572752796,"Colgate Total Toothpaste for Fresh Breath with Fluoride, Multi Benefit Toothpaste, Fresh Mint Stripe Gel, 4.8 Oz, 2 Ct",https://www.walmart.com/ip/Colgate-Total-Toothpaste-for-Fresh-Breath-with-Fluoride-Multi-Benefit-Toothpaste-Fresh-Mint-Stripe-Gel-4-8-Oz-2-Ct/661431001
27,587776538,"Crest Pro Health Gum Detoxify Toothpaste, Deep Clean, 4.1 oz",https://www.walmart.com/ip/Crest-Pro-Health-Gum-Detoxify-Toothpaste-Deep-Clean-4-1-oz/510336166
28,554961506,Pepsodent Complete Care Original Toothpaste 5.5oz,https://www.walmart.com/ip/Pepsodent-Complete-Care-Original-Toothpaste-5-5oz/191756851
29,554891194,"Colgate Baking Soda and Peroxide Whitening Toothpaste, Frosty Mint Stripe - 6 Ounce",https://www.walmart.com/ip/Colgate-Baking-Soda-and-Peroxide-Whitening-Toothpaste-Frosty-Mint-Stripe-6-Ounce/49714958
30,578555718,"Parodontax Gingivitis Toothpaste for Bleeding Gums, Extra Fresh - 3.4 Ounces",https://www.walmart.com/ip/Parodontax-Gingivitis-Toothpaste-for-Bleeding-Gums-Extra-Fresh-3-4-Ounces/125185675
31,290714,"Sensodyne Pronamel Gentle Whitening Enamel Toothpaste for Sensitive Teeth, Alpine Breeze - 4 Ounces",https://www.walmart.com/ip/Sensodyne-Pronamel-Gentle-Whitening-Enamel-Toothpaste-for-Sensitive-Teeth-Alpine-Breeze-4-Ounces/12167268
32,579486213,"Crest Cavity Protection Toothpaste, Regular Paste, 5.7 oz, Pack of 4",https://www.walmart.com/ip/Crest-Cavity-Protection-Toothpaste-Regular-Paste-5-7-oz-Pack-of-4/185445172
33,578430703,"Colgate Optic White Renewal Whitening Toothpaste, Lasting Fresh, 3 oz",https://www.walmart.com/ip/Colgate-Optic-White-Renewal-Whitening-Toothpaste-Lasting-Fresh-3-oz/854022279
34,587782407,"Crest Gum and Enamel Repair Toothpaste, Intensive Clean, 4.1 oz",https://www.walmart.com/ip/Crest-Gum-and-Enamel-Repair-Toothpaste-Intensive-Clean-4-1-oz/318769264
35,564239972,"Colgate Sensitive Toothpaste, Whitening - Fresh Mint Gel Formula (6 ounce, Pack of 2)",https://www.walmart.com/ip/Colgate-Sensitive-Toothpaste-Whitening-Fresh-Mint-Gel-Formula-6-ounce-Pack-of-2/32176877
36,577475053,Parodontax Complete Protection Teeth Whitening Toothpaste for Bleeding Gums,https://www.walmart.com/ip/Parodontax-Complete-Protection-Teeth-Whitening-Toothpaste-for-Bleeding-Gums-3-4-Ounce/980278348
37,566070127,"Hello Activated Charcoal Epic Whitening Fluoride Free Toothpaste, Fresh Mint + Coconut Oil, Vegan & SLS Free",https://www.walmart.com/ip/Hello-Activated-Charcoal-Epic-Whitening-Fluoride-Free-Toothpaste-Fresh-Mint-Coconut-Oil-Vegan-SLS-Free/529826900
38,572579525,"Parodontax Complete Protection Gingivitis Toothpaste for Bleeding Gums, Pure Fresh Mint - 3.4 Ounces",https://www.walmart.com/ip/Parodontax-Complete-Protection-Gingivitis-Toothpaste-for-Bleeding-Gums-Pure-Fresh-Mint-3-4-Ounces/810980013
39,571836073,"Crest Gum Detoxify Deep Clean Toothpaste, 4.1 oz, 2 Pack",https://www.walmart.com/ip/Crest-Gum-Detoxify-Deep-Clean-Toothpaste-4-1-oz-2-Pack/959192244
