,product_number,product name,product link
47,10311747,Colgate Max Fresh Liquid Gel 2-in-1 Toothpaste and Mouthwash - 4.6 Ounce,https://www.walmart.com/ip/Colgate-Max-Fresh-Liquid-Gel-2-in-1-Toothpaste-and-Mouthwash-4-6-Ounce/10311747
48,10316811,"Sensodyne Fresh Mint Sensitivity Toothpaste for Sensitive Teeth and Fresh Breath, 4 Ounce",https://www.walmart.com/ip/Sensodyne-Fresh-Mint-Sensitivity-Toothpaste-for-Sensitive-Teeth-and-Fresh-Breath-4-Ounce/10316811
49,971287851,"Crest 3D White, Whitening Toothpaste Radiant Mint, 3.0 oz",https://www.walmart.com/ip/Crest-3D-White-Whitening-Toothpaste-Radiant-Mint-3-0-oz/971287851
50,28442763,"Sensodyne Sensitivity Toothpaste for Sensitive Teeth, Fresh Mint, 4 ounce (Pack of 2)",https://www.walmart.com/ip/Sensodyne-Sensitivity-Toothpaste-for-Sensitive-Teeth-Fresh-Mint-4-ounce-Pack-of-2/28442763
51,599561143,"Colgate Total Toothpaste, Clean Mint, 4.8 oz. 2-pack - Paste",https://www.walmart.com/ip/Colgate-Total-Toothpaste-Clean-Mint-4-8-oz-2-pack-Paste/599561143
52,361263130,"Crest Pro-Health Advanced Gum Protection Toothpaste, 5.1 oz, Pack of 2",https://www.walmart.com/ip/Crest-Pro-Health-Advanced-Gum-Protection-Toothpaste-5-1-oz-Pack-of-2/361263130
53,958200779,"Crest 3D White, Charcoal Whitening Toothpaste, 4.1 oz",https://www.walmart.com/ip/Crest-3D-White-Charcoal-Whitening-Toothpaste-4-1-oz/958200779
54,632875553,"Hello Activated Charcoal Fluoride Whitening Toothpaste, With Fresh Mint and Coconut Oil, Vegan & SLS Free, 4oz",https://www.walmart.com/ip/Hello-Activated-Charcoal-Fluoride-Whitening-Toothpaste-With-Fresh-Mint-and-Coconut-Oil-Vegan-SLS-Free-4oz/632875553
55,828180888,Colgate Optic White Platinum Express White Whitening Toothpaste - 3 ounce (3 pack),https://www.walmart.com/ip/Colgate-Optic-White-Platinum-Express-White-Whitening-Toothpaste-3-ounce-3-pack/828180888
56,313948787,"Crest 3D White, Whitening Toothpaste Radiant Mint, 4.1 oz, Pack of 3",https://www.walmart.com/ip/Crest-3D-White-Whitening-Toothpaste-Radiant-Mint-4-1-oz-Pack-of-3/313948787
57,16940390,"Aquafresh Extreme Clean Mint Blast Fluoride Toothpaste Twin Pack, 5.6 oz, 2 pack",https://www.walmart.com/ip/Aquafresh-Extreme-Clean-Mint-Blast-Fluoride-Toothpaste-Twin-Pack-5-6-oz-2-pack/16940390
58,888936473,"Aquafresh Extra Fresh Plus Whitening Fluoride Toothpaste for Cavity Protection, 5.6 ounce (3 pack)",https://www.walmart.com/ip/Aquafresh-Extra-Fresh-Plus-Whitening-Fluoride-Toothpaste-for-Cavity-Protection-5-6-ounce-3-pack/888936473
